,Username,Repo_name,Stars,Repo_url
0,metafizzy,infinite-scroll,7k,https://github.com/topics/3d/metafizzy/infinite-scroll
1,ljianshu,Blog,6.8k,https://github.com/topics/ajax/ljianshu/Blog
2,developit,unfetch,5.2k,https://github.com/topics/algorithm/developit/unfetch
3,jquery-form,form,5.1k,https://github.com/topics/amphp/jquery-form/form
4,olifolkerd,tabulator,4.3k,https://github.com/topics/android/olifolkerd/tabulator
5,Studio-42,elFinder,4.2k,https://github.com/topics/angular/Studio-42/elFinder
6,ded,reqwest,2.9k,https://github.com/topics/ansible/ded/reqwest
7,dwyl,learn-to-send-email-via-google-script-html-no-server,2.7k,https://github.com/topics/api/dwyl/learn-to-send-email-via-google-script-html-no-server
8,LeaVerou,bliss,2.3k,https://github.com/topics/arduino/LeaVerou/bliss
9,elbywan,wretch,2.3k,https://github.com/topics/aspnet/elbywan/wretch
10,noelboss,featherlight,2k,https://github.com/topics/atom/noelboss/featherlight
11,wendux,Ajax-hook,1.9k,https://github.com/topics/awesome/wendux/Ajax-hook
12,craftpip,jquery-confirm,1.8k,https://github.com/topics/aws/craftpip/jquery-confirm
13,yisainan,web-interview,1.8k,https://github.com/topics/azure/yisainan/web-interview
14,ptaoussanis,sente,1.6k,https://github.com/topics/babel/ptaoussanis/sente
15,joaomilho,Enterprise,1.5k,https://github.com/topics/bash/joaomilho/Enterprise
16,nette,tracy,1.5k,https://github.com/topics/bitcoin/nette/tracy
17,u014427391,jeeplatform,1.3k,https://github.com/topics/bootstrap/u014427391/jeeplatform
18,MoOx,pjax,1.2k,https://github.com/topics/bot/MoOx/pjax
19,loadingio,css-spinner,1.2k,https://github.com/topics/c/loadingio/css-spinner
20,codingforentrepreneurs,eCommerce,1.2k,https://github.com/topics/chrome/codingforentrepreneurs/eCommerce
21,danielm,uploader,1.1k,https://github.com/topics/chrome-extension/danielm/uploader
22,renderedtext,render_async,1k,https://github.com/topics/cli/renderedtext/render_async
23,swlib,saber,935,https://github.com/topics/clojure/swlib/saber
24,webcreate,infinite-ajax-scroll,836,https://github.com/topics/code-quality/webcreate/infinite-ajax-scroll
25,proyecto26,RestClient,817,https://github.com/topics/code-review/proyecto26/RestClient
26,opensource-socialnetwork,opensource-socialnetwork,814,https://github.com/topics/compiler/opensource-socialnetwork/opensource-socialnetwork
27,rapidjs,rapid.js,707,https://github.com/topics/continuous-integration/rapidjs/rapid.js
28,k8w,tsrpc,628,https://github.com/topics/covid-19/k8w/tsrpc
29,csxiaoyaojianxian,JavaScriptStudy,587,https://github.com/topics/cpp/csxiaoyaojianxian/JavaScriptStudy
