,Username,Repo_name,Stars,Repo_url
0,amphp,amp,3.4k,https://github.com/topics/3d/amphp/amp
1,danog,MadelineProto,1.7k,https://github.com/topics/ajax/danog/MadelineProto
2,amphp,http-server,1.1k,https://github.com/topics/algorithm/amphp/http-server
3,unreal4u,telegram-api,679,https://github.com/topics/amphp/unreal4u/telegram-api
4,amphp,http-client,586,https://github.com/topics/android/amphp/http-client
5,amphp,parallel,525,https://github.com/topics/angular/amphp/parallel
6,php-service-bus,service-bus,306,https://github.com/topics/ansible/php-service-bus/service-bus
7,amphp,mysql,253,https://github.com/topics/api/amphp/mysql
8,amphp,byte-stream,251,https://github.com/topics/arduino/amphp/byte-stream
9,amphp,parallel-functions,199,https://github.com/topics/aspnet/amphp/parallel-functions
10,amphp,process,144,https://github.com/topics/atom/amphp/process
11,amphp,socket,137,https://github.com/topics/awesome/amphp/socket
12,amphp,redis,118,https://github.com/topics/aws/amphp/redis
13,kelunik,acme,105,https://github.com/topics/azure/kelunik/acme
14,amphp,dns,96,https://github.com/topics/babel/amphp/dns
15,amphp,websocket-client,93,https://github.com/topics/bash/amphp/websocket-client
16,PeeHaa,mailgrab,91,https://github.com/topics/bitcoin/PeeHaa/mailgrab
17,amphp,sync,86,https://github.com/topics/bootstrap/amphp/sync
18,jolicode,asynit,68,https://github.com/topics/bot/jolicode/asynit
19,amphp,websocket-server,65,https://github.com/topics/c/amphp/websocket-server
20,amphp,cache,58,https://github.com/topics/chrome/amphp/cache
21,amphp,file,58,https://github.com/topics/chrome-extension/amphp/file
22,amphp,postgres,58,https://github.com/topics/cli/amphp/postgres
23,amphp,serialization,55,https://github.com/topics/clojure/amphp/serialization
24,amphp,beanstalk,55,https://github.com/topics/code-quality/amphp/beanstalk
25,amphp,windows-registry,54,https://github.com/topics/code-review/amphp/windows-registry
26,amphp,hpack,52,https://github.com/topics/compiler/amphp/hpack
27,phpinnacle,ridge,43,https://github.com/topics/continuous-integration/phpinnacle/ridge
28,amphp,aerys,42,https://github.com/topics/covid-19/amphp/aerys
29,Room-11,Jeeves,41,https://github.com/topics/cpp/Room-11/Jeeves
