,Username,Repo_name,Stars,Repo_url
0,flutter,flutter,132k,https://github.com/topics/3d/flutter/flutter
1,justjavac,free-programming-books-zh_CN,84.3k,https://github.com/topics/ajax/justjavac/free-programming-books-zh_CN
2,Genymobile,scrcpy,57.6k,https://github.com/topics/algorithm/Genymobile/scrcpy
3,Hack-with-Github,Awesome-Hacking,47.7k,https://github.com/topics/amphp/Hack-with-Github/Awesome-Hacking
4,google,material-design-icons,44.3k,https://github.com/topics/android/google/material-design-icons
5,wasabeef,awesome-android-ui,41.7k,https://github.com/topics/angular/wasabeef/awesome-android-ui
6,square,okhttp,41.1k,https://github.com/topics/ansible/square/okhttp
7,android,architecture-samples,39.8k,https://github.com/topics/api/android/architecture-samples
8,square,retrofit,39k,https://github.com/topics/arduino/square/retrofit
9,Solido,awesome-flutter,38.2k,https://github.com/topics/aspnet/Solido/awesome-flutter
10,PhilJay,MPAndroidChart,34.2k,https://github.com/topics/atom/PhilJay/MPAndroidChart
11,fastlane,fastlane,33.3k,https://github.com/topics/awesome/fastlane/fastlane
12,shadowsocks,shadowsocks-android,32.1k,https://github.com/topics/aws/shadowsocks/shadowsocks-android
13,airbnb,lottie-android,32.1k,https://github.com/topics/azure/airbnb/lottie-android
14,bumptech,glide,31.9k,https://github.com/topics/babel/bumptech/glide
15,Trinea,android-open-project,30.8k,https://github.com/topics/bash/Trinea/android-open-project
16,Blankj,AndroidUtilCode,30.1k,https://github.com/topics/bitcoin/Blankj/AndroidUtilCode
17,xitu,gold-miner,29.8k,https://github.com/topics/bootstrap/xitu/gold-miner
18,bilibili,ijkplayer,29.6k,https://github.com/topics/bot/bilibili/ijkplayer
19,zxing,zxing,28.7k,https://github.com/topics/c/zxing/zxing
20,skylot,jadx,27.7k,https://github.com/topics/chrome/skylot/jadx
21,codepath,android_guides,27.6k,https://github.com/topics/chrome-extension/codepath/android_guides
22,square,leakcanary,26.9k,https://github.com/topics/cli/square/leakcanary
23,laurent22,joplin,26.4k,https://github.com/topics/clojure/laurent22/joplin
24,alibaba,fastjson,23.9k,https://github.com/topics/code-quality/alibaba/fastjson
25,scwang90,SmartRefreshLayout,23.1k,https://github.com/topics/code-review/scwang90/SmartRefreshLayout
26,CymChad,BaseRecyclerViewAdapterHelper,22.5k,https://github.com/topics/compiler/CymChad/BaseRecyclerViewAdapterHelper
27,react-native-elements,react-native-elements,21.6k,https://github.com/topics/continuous-integration/react-native-elements/react-native-elements
28,google,iosched,20.9k,https://github.com/topics/covid-19/google/iosched
29,NativeScript,NativeScript,20.7k,https://github.com/topics/cpp/NativeScript/NativeScript
