,Username,Repo_name,Stars,Repo_url
0,ansible,ansible,50.8k,https://github.com/topics/3d/ansible/ansible
1,trailofbits,algo,24.1k,https://github.com/topics/ajax/trailofbits/algo
2,StreisandEffect,streisand,22.6k,https://github.com/topics/algorithm/StreisandEffect/streisand
3,bregman-arie,devops-exercises,19.3k,https://github.com/topics/amphp/bregman-arie/devops-exercises
4,kubernetes-sigs,kubespray,11.5k,https://github.com/topics/android/kubernetes-sigs/kubespray
5,ansible,awx,10.4k,https://github.com/topics/angular/ansible/awx
6,easzlab,kubeasz,7.5k,https://github.com/topics/ansible/easzlab/kubeasz
7,geerlingguy,ansible-for-devops,5.2k,https://github.com/topics/api/geerlingguy/ansible-for-devops
8,ansible-semaphore,semaphore,4.5k,https://github.com/topics/arduino/ansible-semaphore/semaphore
9,rundeck,rundeck,4.4k,https://github.com/topics/aspnet/rundeck/rundeck
10,geerlingguy,mac-dev-playbook,4.1k,https://github.com/topics/atom/geerlingguy/mac-dev-playbook
11,KubeOperator,KubeOperator,4.1k,https://github.com/topics/awesome/KubeOperator/KubeOperator
12,Tikam02,DevOps-Guide,4.1k,https://github.com/topics/aws/Tikam02/DevOps-Guide
13,ansible-community,molecule,3.2k,https://github.com/topics/azure/ansible-community/molecule
14,clong,DetectionLab,3.2k,https://github.com/topics/babel/clong/DetectionLab
15,opendevops-cn,opendevops,3k,https://github.com/topics/bash/opendevops-cn/opendevops
16,welliamcao,OpsManage,2.8k,https://github.com/topics/bitcoin/welliamcao/OpsManage
17,werf,werf,2.7k,https://github.com/topics/bootstrap/werf/werf
18,netbootxyz,netboot.xyz,2.7k,https://github.com/topics/bot/netbootxyz/netboot.xyz
19,ansible-community,ansible-lint,2.6k,https://github.com/topics/c/ansible-community/ansible-lint
20,dev-sec,ansible-collection-hardening,2.5k,https://github.com/topics/chrome/dev-sec/ansible-collection-hardening
21,alixaxel,chrome-aws-lambda,2.5k,https://github.com/topics/chrome-extension/alixaxel/chrome-aws-lambda
22,litmuschaos,litmus,2.3k,https://github.com/topics/cli/litmuschaos/litmus
23,roots,trellis,2.3k,https://github.com/topics/clojure/roots/trellis
24,ansistrano,deploy,2.1k,https://github.com/topics/code-quality/ansistrano/deploy
25,openshift,openshift-ansible,2k,https://github.com/topics/code-review/openshift/openshift-ansible
26,fboender,ansible-cmdb,2k,https://github.com/topics/compiler/fboender/ansible-cmdb
27,pytest-dev,pytest-testinfra,2k,https://github.com/topics/continuous-integration/pytest-dev/pytest-testinfra
28,leucos,ansible-tuto,1.9k,https://github.com/topics/covid-19/leucos/ansible-tuto
29,Artemmkin,infrastructure-as-code-tutorial,1.9k,https://github.com/topics/cpp/Artemmkin/infrastructure-as-code-tutorial
