,Username,Repo_name,Stars,Repo_url
0,public-apis,public-apis,168k,https://github.com/topics/3d/public-apis/public-apis
1,httpie,httpie,52.8k,https://github.com/topics/ajax/httpie/httpie
2,neovim,neovim,48.7k,https://github.com/topics/algorithm/neovim/neovim
3,strapi,strapi,40.9k,https://github.com/topics/amphp/strapi/strapi
4,tiangolo,fastapi,38.3k,https://github.com/topics/android/tiangolo/fastapi
5,slatedocs,slate,33.3k,https://github.com/topics/angular/slatedocs/slate
6,hoppscotch,hoppscotch,33.2k,https://github.com/topics/ansible/hoppscotch/hoppscotch
7,hasura,graphql-engine,24.5k,https://github.com/topics/api/hasura/graphql-engine
8,YMFE,yapi,23k,https://github.com/topics/arduino/YMFE/yapi
9,encode,django-rest-framework,22.2k,https://github.com/topics/aspnet/encode/django-rest-framework
10,ccxt,ccxt,22k,https://github.com/topics/atom/ccxt/ccxt
11,Binaryify,NeteaseCloudMusicApi,22k,https://github.com/topics/awesome/Binaryify/NeteaseCloudMusicApi
12,littlecodersh,ItChat,21.8k,https://github.com/topics/aws/littlecodersh/ItChat
13,paularmstrong,normalizr,20.7k,https://github.com/topics/azure/paularmstrong/normalizr
14,FallibleInc,security-guide-for-developers,20k,https://github.com/topics/babel/FallibleInc/security-guide-for-developers
15,Kong,insomnia,18.6k,https://github.com/topics/bash/Kong/insomnia
16,microsoft,api-guidelines,17.8k,https://github.com/topics/bitcoin/microsoft/api-guidelines
17,pubkey,rxdb,16.5k,https://github.com/topics/bootstrap/pubkey/rxdb
18,shieldfy,API-Security-Checklist,16.2k,https://github.com/topics/bot/shieldfy/API-Security-Checklist
19,learn-anything,learn-anything,13.5k,https://github.com/topics/c/learn-anything/learn-anything
20,youfou,wxpy,13k,https://github.com/topics/chrome/youfou/wxpy
21,directus,directus,12.8k,https://github.com/topics/chrome-extension/directus/directus
22,jsdoc,jsdoc,12.5k,https://github.com/topics/cli/jsdoc/jsdoc
23,BrainJS,brain.js,12.3k,https://github.com/topics/clojure/BrainJS/brain.js
24,ChainSafe,web3.js,12.1k,https://github.com/topics/code-quality/ChainSafe/web3.js
25,graphile,postgraphile,10.8k,https://github.com/topics/code-review/graphile/postgraphile
26,micro,micro,10.7k,https://github.com/topics/compiler/micro/micro
27,go-chi,chi,10.4k,https://github.com/topics/continuous-integration/go-chi/chi
28,OpenAPITools,openapi-generator,10.4k,https://github.com/topics/covid-19/OpenAPITools/openapi-generator
29,postmanlabs,httpbin,10.3k,https://github.com/topics/cpp/postmanlabs/httpbin
