,Username,Repo_name,Stars,Repo_url
0,aspnetboilerplate,aspnetboilerplate,10k,https://github.com/topics/3d/aspnetboilerplate/aspnetboilerplate
1,dotnet,AspNetCore.Docs,9.9k,https://github.com/topics/ajax/dotnet/AspNetCore.Docs
2,bitwarden,server,8.6k,https://github.com/topics/algorithm/bitwarden/server
3,nopSolutions,nopCommerce,6.7k,https://github.com/topics/amphp/nopSolutions/nopCommerce
4,ElectronNET,Electron.NET,6k,https://github.com/topics/android/ElectronNET/Electron.NET
5,RicoSuter,NSwag,4.8k,https://github.com/topics/angular/RicoSuter/NSwag
6,thangchung,clean-code-dotnet,4.3k,https://github.com/topics/ansible/thangchung/clean-code-dotnet
7,JimBobSquarePants,ImageProcessor,2.5k,https://github.com/topics/api/JimBobSquarePants/ImageProcessor
8,smartstore,SmartStoreNET,2.3k,https://github.com/topics/arduino/smartstore/SmartStoreNET
9,dotnet,aspnet-api-versioning,2.1k,https://github.com/topics/aspnet/dotnet/aspnet-api-versioning
10,loic-sharma,BaGet,1.8k,https://github.com/topics/atom/loic-sharma/BaGet
11,mjebrahimi,Awesome-Microservices-NetCore,1.5k,https://github.com/topics/awesome/mjebrahimi/Awesome-Microservices-NetCore
12,TrilonIO,aspnetcore-angular-universal,1.5k,https://github.com/topics/aws/TrilonIO/aspnetcore-angular-universal
13,TrilonIO,aspnetcore-Vue-starter,1.2k,https://github.com/topics/azure/TrilonIO/aspnetcore-Vue-starter
14,lampo1024,DncZeus,1.2k,https://github.com/topics/babel/lampo1024/DncZeus
15,MarimerLLC,csla,959,https://github.com/topics/bash/MarimerLLC/csla
16,riganti,dotvvm,573,https://github.com/topics/bitcoin/riganti/dotvvm
17,cornflourblue,aspnet-core-3-jwt-authentication-api,566,https://github.com/topics/bootstrap/cornflourblue/aspnet-core-3-jwt-authentication-api
18,antonioCoco,SharPyShell,491,https://github.com/topics/bot/antonioCoco/SharPyShell
19,chsakell,mvcarchitecture,446,https://github.com/topics/c/chsakell/mvcarchitecture
20,brthor,Gofer.NET,420,https://github.com/topics/chrome/brthor/Gofer.NET
21,YAFNET,YAFNET,413,https://github.com/topics/chrome-extension/YAFNET/YAFNET
22,Maarten88,rrod,377,https://github.com/topics/cli/Maarten88/rrod
23,SapphireDb,SapphireDb,359,https://github.com/topics/clojure/SapphireDb/SapphireDb
24,IvanJosipovic,BlazorTable,354,https://github.com/topics/code-quality/IvanJosipovic/BlazorTable
25,Taritsyn,WebMarkupMin,339,https://github.com/topics/code-review/Taritsyn/WebMarkupMin
26,chsakell,aspnet-core-identity,306,https://github.com/topics/compiler/chsakell/aspnet-core-identity
27,EEParker,aspnetcore-vueclimiddleware,305,https://github.com/topics/continuous-integration/EEParker/aspnetcore-vueclimiddleware
28,ALMMa,datatables.aspnet,284,https://github.com/topics/covid-19/ALMMa/datatables.aspnet
29,cornflourblue,aspnet-core-jwt-authentication-api,276,https://github.com/topics/cpp/cornflourblue/aspnet-core-jwt-authentication-api
