,Username,Repo_name,Stars,Repo_url
0,bregman-arie,devops-exercises,19.3k,https://github.com/topics/3d/bregman-arie/devops-exercises
1,ramitsurana,awesome-kubernetes,12.2k,https://github.com/topics/ajax/ramitsurana/awesome-kubernetes
2,microsoft,recommenders,11.6k,https://github.com/topics/algorithm/microsoft/recommenders
3,Azure,azure-quickstart-templates,11k,https://github.com/topics/amphp/Azure/azure-quickstart-templates
4,pulumi,pulumi,10.6k,https://github.com/topics/android/pulumi/pulumi
5,mozilla,sops,8.6k,https://github.com/topics/angular/mozilla/sops
6,microsoft,computervision-recipes,8.2k,https://github.com/topics/ansible/microsoft/computervision-recipes
7,google,go-cloud,8.1k,https://github.com/topics/api/google/go-cloud
8,caprover,caprover,7.9k,https://github.com/topics/arduino/caprover/caprover
9,microsoft,azuredatastudio,6.6k,https://github.com/topics/aspnet/microsoft/azuredatastudio
10,node-formidable,formidable,6.1k,https://github.com/topics/atom/node-formidable/formidable
11,midwayjs,midway,5k,https://github.com/topics/awesome/midwayjs/midway
12,infracost,infracost,4.4k,https://github.com/topics/aws/infracost/infracost
13,thangchung,clean-code-dotnet,4.3k,https://github.com/topics/azure/thangchung/clean-code-dotnet
14,budtmo,docker-android,4k,https://github.com/topics/babel/budtmo/docker-android
15,cloud-custodian,cloud-custodian,3.9k,https://github.com/topics/bash/cloud-custodian/cloud-custodian
16,nccgroup,ScoutSuite,3.7k,https://github.com/topics/bitcoin/nccgroup/ScoutSuite
17,aquasecurity,tfsec,3.5k,https://github.com/topics/bootstrap/aquasecurity/tfsec
18,simov,grant,3.5k,https://github.com/topics/bot/simov/grant
19,bridgecrewio,checkov,3.5k,https://github.com/topics/c/bridgecrewio/checkov
20,Qovery,engine,3.4k,https://github.com/topics/chrome/Qovery/engine
21,Azure,azure-sdk-for-net,3k,https://github.com/topics/chrome-extension/Azure/azure-sdk-for-net
22,hashicorp,terraform-provider-azurerm,3k,https://github.com/topics/cli/hashicorp/terraform-provider-azurerm
23,Azure,azure-cli,2.8k,https://github.com/topics/clojure/Azure/azure-cli
24,Azure,azure-powershell,2.8k,https://github.com/topics/code-quality/Azure/azure-powershell
25,Azure,MachineLearningNotebooks,2.8k,https://github.com/topics/code-review/Azure/MachineLearningNotebooks
26,mlabouardy,komiser,2.7k,https://github.com/topics/compiler/mlabouardy/komiser
27,APIs-guru,openapi-directory,2.6k,https://github.com/topics/continuous-integration/APIs-guru/openapi-directory
28,microsoft,SynapseML,2.6k,https://github.com/topics/covid-19/microsoft/SynapseML
29,smartstore,SmartStoreNET,2.3k,https://github.com/topics/cpp/smartstore/SmartStoreNET
