,Username,Repo_name,Stars,Repo_url
0,jlevy,the-art-of-command-line,98.3k,https://github.com/topics/3d/jlevy/the-art-of-command-line
1,nvm-sh,nvm,53.2k,https://github.com/topics/ajax/nvm-sh/nvm
2,junegunn,fzf,40.4k,https://github.com/topics/algorithm/junegunn/fzf
3,dylanaraps,pure-bash-bible,28k,https://github.com/topics/amphp/dylanaraps/pure-bash-bible
4,mathiasbynens,dotfiles,27.1k,https://github.com/topics/android/mathiasbynens/dotfiles
5,koalaman,shellcheck,26.8k,https://github.com/topics/angular/koalaman/shellcheck
6,LeCoupa,awesome-cheatsheets,25.6k,https://github.com/topics/ansible/LeCoupa/awesome-cheatsheets
7,acmesh-official,acme.sh,24.3k,https://github.com/topics/api/acmesh-official/acme.sh
8,alebcay,awesome-shell,22.5k,https://github.com/topics/arduino/alebcay/awesome-shell
9,starship,starship,19.9k,https://github.com/topics/aspnet/starship/starship
10,jaywcjlove,linux-command,17.2k,https://github.com/topics/atom/jaywcjlove/linux-command
11,Nyr,openvpn-install,14k,https://github.com/topics/awesome/Nyr/openvpn-install
12,rbenv,rbenv,13.7k,https://github.com/topics/aws/rbenv/rbenv
13,dylanaraps,neofetch,13.5k,https://github.com/topics/azure/dylanaraps/neofetch
14,powerline,powerline,12.9k,https://github.com/topics/babel/powerline/powerline
15,shelljs,shelljs,12.8k,https://github.com/topics/bash/shelljs/shelljs
16,Bash-it,bash-it,12.6k,https://github.com/topics/bitcoin/Bash-it/bash-it
17,jessfraz,dockerfiles,12.1k,https://github.com/topics/bootstrap/jessfraz/dockerfiles
18,faressoft,terminalizer,12.1k,https://github.com/topics/bot/faressoft/terminalizer
19,denisidoro,navi,9.9k,https://github.com/topics/c/denisidoro/navi
20,codota,TabNine,8.8k,https://github.com/topics/chrome/codota/TabNine
21,rgcr,m-cli,8.6k,https://github.com/topics/chrome-extension/rgcr/m-cli
22,alexanderepstein,Bash-Snippets,8.5k,https://github.com/topics/cli/alexanderepstein/Bash-Snippets
23,kanaka,mal,8.2k,https://github.com/topics/clojure/kanaka/mal
24,direnv,direnv,8.1k,https://github.com/topics/code-quality/direnv/direnv
25,skywind3000,awesome-cheatsheets,7.8k,https://github.com/topics/code-review/skywind3000/awesome-cheatsheets
26,withfig,autocomplete,7.3k,https://github.com/topics/compiler/withfig/autocomplete
27,angristan,openvpn-install,7k,https://github.com/topics/continuous-integration/angristan/openvpn-install
28,carlospolop,PEASS-ng,6.9k,https://github.com/topics/covid-19/carlospolop/PEASS-ng
29,Mayccoll,Gogh,6.4k,https://github.com/topics/cpp/Mayccoll/Gogh
