,Username,Repo_name,Stars,Repo_url
0,bitcoin,bitcoin,59.2k,https://github.com/topics/3d/bitcoin/bitcoin
1,ccxt,ccxt,22k,https://github.com/topics/ajax/ccxt/ccxt
2,HelloZeroNet,ZeroNet,17.2k,https://github.com/topics/algorithm/HelloZeroNet/ZeroNet
3,freqtrade,freqtrade,13.3k,https://github.com/topics/amphp/freqtrade/freqtrade
4,askmike,gekko,9.8k,https://github.com/topics/android/askmike/gekko
5,bbfamily,abu,8.5k,https://github.com/topics/angular/bbfamily/abu
6,lbryio,lbry-sdk,7.2k,https://github.com/topics/ansible/lbryio/lbry-sdk
7,dvf,blockchain,6.4k,https://github.com/topics/api/dvf/blockchain
8,yeasy,blockchain_guide,5.8k,https://github.com/topics/arduino/yeasy/blockchain_guide
9,solana-labs,solana,5.5k,https://github.com/topics/aspnet/solana-labs/solana
10,lightningnetwork,lnd,5.5k,https://github.com/topics/atom/lightningnetwork/lnd
11,butor,blackbird,5.4k,https://github.com/topics/awesome/butor/blackbird
12,spesmilo,electrum,5.3k,https://github.com/topics/aws/spesmilo/electrum
13,btcsuite,btcd,4.5k,https://github.com/topics/azure/btcsuite/btcd
14,bitcoinjs,bitcoinjs-lib,4.4k,https://github.com/topics/babel/bitcoinjs/bitcoinjs-lib
15,bitcoinj,bitcoinj,4.1k,https://github.com/topics/bash/bitcoinj/bitcoinj
16,bisq-network,bisq,3.8k,https://github.com/topics/bitcoin/bisq-network/bisq
17,michaelgrosner,tribeca,3.6k,https://github.com/topics/bootstrap/michaelgrosner/tribeca
18,CryptoSignal,Crypto-Signal,3.6k,https://github.com/topics/bot/CryptoSignal/Crypto-Signal
19,Scanate,EthList,3.5k,https://github.com/topics/c/Scanate/EthList
20,RomelTorres,alpha_vantage,3.5k,https://github.com/topics/chrome/RomelTorres/alpha_vantage
21,Zheaoli,awesome-coins,3.4k,https://github.com/topics/chrome-extension/Zheaoli/awesome-coins
22,coinpride,CryptoList,3.4k,https://github.com/topics/cli/coinpride/CryptoList
23,bitpay,wallet,3.3k,https://github.com/topics/clojure/bitpay/wallet
24,jesse-ai,jesse,3.2k,https://github.com/topics/code-quality/jesse-ai/jesse
25,SqueezerIO,squeezer,3.2k,https://github.com/topics/code-review/SqueezerIO/squeezer
26,Jeiwan,blockchain_go,3.1k,https://github.com/topics/compiler/Jeiwan/blockchain_go
27,btcpayserver,btcpayserver,3.1k,https://github.com/topics/continuous-integration/btcpayserver/btcpayserver
28,cointop-sh,cointop,2.8k,https://github.com/topics/covid-19/cointop-sh/cointop
29,lbryio,lbrycrd,2.8k,https://github.com/topics/cpp/lbryio/lbrycrd
