,Username,Repo_name,Stars,Repo_url
0,ccxt,ccxt,22k,https://github.com/topics/3d/ccxt/ccxt
1,python-telegram-bot,python-telegram-bot,17k,https://github.com/topics/ajax/python-telegram-bot/python-telegram-bot
2,discordjs,discord.js,16.2k,https://github.com/topics/algorithm/discordjs/discord.js
3,hubotio,hubot,16k,https://github.com/topics/amphp/hubotio/hubot
4,timgrossmann,InstaPy,13.4k,https://github.com/topics/android/timgrossmann/InstaPy
5,RasaHQ,rasa,13k,https://github.com/topics/angular/RasaHQ/rasa
6,gunthercox,ChatterBot,11.7k,https://github.com/topics/ansible/gunthercox/ChatterBot
7,howdyai,botkit,10.5k,https://github.com/topics/api/howdyai/botkit
8,botpress,botpress,9.4k,https://github.com/topics/arduino/botpress/botpress
9,sfyc23,EverydayWechat,8.6k,https://github.com/topics/aspnet/sfyc23/EverydayWechat
10,tgbot-collection,YYeTsBot,8.1k,https://github.com/topics/atom/tgbot-collection/YYeTsBot
11,leon-ai,leon,8.1k,https://github.com/topics/awesome/leon-ai/leon
12,EZFNDEV,EZFN-Lobbybot,6.9k,https://github.com/topics/aws/EZFNDEV/EZFN-Lobbybot
13,microsoft,ailab,6.8k,https://github.com/topics/azure/microsoft/ailab
14,microsoft,botframework-sdk,6.7k,https://github.com/topics/babel/microsoft/botframework-sdk
15,maxbbraun,trump2cash,6k,https://github.com/topics/bash/maxbbraun/trump2cash
16,yagop,node-telegram-bot-api,5.7k,https://github.com/topics/bitcoin/yagop/node-telegram-bot-api
17,botman,botman,5.5k,https://github.com/topics/bootstrap/botman/botman
18,deepmipt,DeepPavlov,5.5k,https://github.com/topics/bot/deepmipt/DeepPavlov
19,telegraf,telegraf,5.1k,https://github.com/topics/c/telegraf/telegraf
20,axa-group,nlp.js,4.6k,https://github.com/topics/chrome/axa-group/nlp.js
21,jef,streetmerchant,4.6k,https://github.com/topics/chrome-extension/jef/streetmerchant
22,ohld,igbot,4.1k,https://github.com/topics/cli/ohld/igbot
23,pedroslopez,whatsapp-web.js,3.9k,https://github.com/topics/clojure/pedroslopez/whatsapp-web.js
24,Yoctol,bottender,3.8k,https://github.com/topics/code-quality/Yoctol/bottender
25,PokemonGoF,PokemonGo-Bot,3.7k,https://github.com/topics/code-review/PokemonGoF/PokemonGo-Bot
26,snipsco,snips-nlu,3.6k,https://github.com/topics/compiler/snipsco/snips-nlu
27,orkestral,venom,3.4k,https://github.com/topics/continuous-integration/orkestral/venom
28,goq,telegram-list,3.3k,https://github.com/topics/covid-19/goq/telegram-list
29,chrisleekr,binance-trading-bot,3.3k,https://github.com/topics/cpp/chrisleekr/binance-trading-bot
