,Username,Repo_name,Stars,Repo_url
0,Genymobile,scrcpy,57.6k,https://github.com/topics/3d/Genymobile/scrcpy
1,neovim,neovim,48.7k,https://github.com/topics/ajax/neovim/neovim
2,git,git,40.1k,https://github.com/topics/algorithm/git/git
3,fffaraz,awesome-cpp,34.7k,https://github.com/topics/amphp/fffaraz/awesome-cpp
4,obsproject,obs-studio,32.9k,https://github.com/topics/android/obsproject/obs-studio
5,serhii-londar,open-source-mac-os-apps,28.7k,https://github.com/topics/angular/serhii-londar/open-source-mac-os-apps
6,FFmpeg,FFmpeg,26.9k,https://github.com/topics/ansible/FFmpeg/FFmpeg
7,vim,vim,25.2k,https://github.com/topics/api/vim/vim
8,ggreer,the_silver_searcher,22.8k,https://github.com/topics/arduino/ggreer/the_silver_searcher
9,curl,curl,22.6k,https://github.com/topics/aspnet/curl/curl
10,huihut,interview,21.3k,https://github.com/topics/atom/huihut/interview
11,ruby,ruby,18.6k,https://github.com/topics/awesome/ruby/ruby
12,google,flatbuffers,17k,https://github.com/topics/aws/google/flatbuffers
13,mpv-player,mpv,16.8k,https://github.com/topics/azure/mpv-player/mpv
14,pbatard,rufus,16.7k,https://github.com/topics/babel/pbatard/rufus
15,oracle,graal,16.2k,https://github.com/topics/bash/oracle/graal
16,radareorg,radare2,15.3k,https://github.com/topics/bitcoin/radareorg/radare2
17,shadowsocks,shadowsocks-libev,14.7k,https://github.com/topics/bootstrap/shadowsocks/shadowsocks-libev
18,microsoft,vcpkg,14.2k,https://github.com/topics/bot/microsoft/vcpkg
19,allinurl,goaccess,14k,https://github.com/topics/c/allinurl/goaccess
20,vurtun,nuklear,13.3k,https://github.com/topics/chrome/vurtun/nuklear
21,jarun,nnn,12.9k,https://github.com/topics/chrome-extension/jarun/nnn
22,facebook,infer,12.7k,https://github.com/topics/cli/facebook/infer
23,kovidgoyal,kitty,12.7k,https://github.com/topics/clojure/kovidgoyal/kitty
24,CoatiSoftware,Sourcetrail,12.2k,https://github.com/topics/code-quality/CoatiSoftware/Sourcetrail
25,TheAlgorithms,C,11.5k,https://github.com/topics/code-review/TheAlgorithms/C
26,qmk,qmk_firmware,11k,https://github.com/topics/compiler/qmk/qmk_firmware
27,s-matyukevich,raspberry-pi-os,10.9k,https://github.com/topics/continuous-integration/s-matyukevich/raspberry-pi-os
28,hashcat,hashcat,10.8k,https://github.com/topics/covid-19/hashcat/hashcat
29,jonas,tig,10.4k,https://github.com/topics/cpp/jonas/tig
