,Username,Repo_name,Stars,Repo_url
0,electron,electron,98.9k,https://github.com/topics/3d/electron/electron
1,FiloSottile,mkcert,32.7k,https://github.com/topics/ajax/FiloSottile/mkcert
2,microsoft,playwright,30.6k,https://github.com/topics/algorithm/microsoft/playwright
3,ovity,octotree,21.7k,https://github.com/topics/amphp/ovity/octotree
4,iamadamdev,bypass-paywalls-chrome,20.2k,https://github.com/topics/android/iamadamdev/bypass-paywalls-chrome
5,segmentio,nightmare,19k,https://github.com/topics/angular/segmentio/nightmare
6,jaywcjlove,linux-command,17.2k,https://github.com/topics/ansible/jaywcjlove/linux-command
7,checkly,headless-recorder,13.7k,https://github.com/topics/api/checkly/headless-recorder
8,prisma-archive,chromeless,13.2k,https://github.com/topics/arduino/prisma-archive/chromeless
9,google,WebFundamentals,12.3k,https://github.com/topics/aspnet/google/WebFundamentals
10,casesandberg,react-color,10.2k,https://github.com/topics/atom/casesandberg/react-color
11,GoogleChrome,chrome-extensions-samples,9.1k,https://github.com/topics/awesome/GoogleChrome/chrome-extensions-samples
12,crimx,ext-saladict,8.3k,https://github.com/topics/aws/crimx/ext-saladict
13,uBlock-LLC,uBlock,8.1k,https://github.com/topics/azure/uBlock-LLC/uBlock
14,chromedp,chromedp,7k,https://github.com/topics/babel/chromedp/chromedp
15,alvarcarto,url-to-pdf-api,6.5k,https://github.com/topics/bash/alvarcarto/url-to-pdf-api
16,MetaMask,metamask-extension,6.1k,https://github.com/topics/bitcoin/MetaMask/metamask-extension
17,kangvcar,InfoSpider,5.9k,https://github.com/topics/bootstrap/kangvcar/InfoSpider
18,Kenshin,simpread,5.2k,https://github.com/topics/bot/Kenshin/simpread
19,yujiosaka,headless-chrome-crawler,5.1k,https://github.com/topics/c/yujiosaka/headless-chrome-crawler
20,MontFerret,ferret,4.7k,https://github.com/topics/chrome/MontFerret/ferret
21,firefox-devtools,debugger,4.6k,https://github.com/topics/chrome-extension/firefox-devtools/debugger
22,themerdev,themer,4.5k,https://github.com/topics/cli/themerdev/themer
23,burtonator,polar-bookshelf,4.4k,https://github.com/topics/clojure/burtonator/polar-bookshelf
24,nieweidong,fetool,4.3k,https://github.com/topics/code-quality/nieweidong/fetool
25,gildas-lormeau,SingleFile,4.3k,https://github.com/topics/code-review/gildas-lormeau/SingleFile
26,moonD4rk,HackBrowserData,3.8k,https://github.com/topics/compiler/moonD4rk/HackBrowserData
27,brookhong,Surfingkeys,3.8k,https://github.com/topics/continuous-integration/brookhong/Surfingkeys
28,bilibili-helper,bilibili-helper-o,3.7k,https://github.com/topics/covid-19/bilibili-helper/bilibili-helper-o
29,melonjs,melonJS,3.7k,https://github.com/topics/cpp/melonjs/melonJS
