,Username,Repo_name,Stars,Repo_url
0,ohmyzsh,ohmyzsh,136k,https://github.com/topics/3d/ohmyzsh/ohmyzsh
1,httpie,httpie,52.8k,https://github.com/topics/ajax/httpie/httpie
2,junegunn,fzf,40.4k,https://github.com/topics/algorithm/junegunn/fzf
3,sharkdp,bat,30.4k,https://github.com/topics/amphp/sharkdp/bat
4,wagoodman,dive,28.5k,https://github.com/topics/android/wagoodman/dive
5,sherlock-project,sherlock,28.2k,https://github.com/topics/angular/sherlock-project/sherlock
6,BurntSushi,ripgrep,28.1k,https://github.com/topics/ansible/BurntSushi/ripgrep
7,chubin,cheat.sh,27.6k,https://github.com/topics/api/chubin/cheat.sh
8,cli,cli,26.3k,https://github.com/topics/arduino/cli/cli
9,angular,angular-cli,25k,https://github.com/topics/aspnet/angular/angular-cli
10,spf13,cobra,24k,https://github.com/topics/atom/spf13/cobra
11,alebcay,awesome-shell,22.5k,https://github.com/topics/awesome/alebcay/awesome-shell
12,jesseduffield,lazygit,22k,https://github.com/topics/aws/jesseduffield/lazygit
13,google,python-fire,20.4k,https://github.com/topics/azure/google/python-fire
14,tqdm,tqdm,20.1k,https://github.com/topics/babel/tqdm/tqdm
15,sharkdp,fd,19.5k,https://github.com/topics/bash/sharkdp/fd
16,avajs,ava,19.4k,https://github.com/topics/bitcoin/avajs/ava
17,vercel,pkg,19.2k,https://github.com/topics/bootstrap/vercel/pkg
18,n8n-io,n8n,18.9k,https://github.com/topics/bot/n8n-io/n8n
19,ibraheemdev,modern-unix,17.8k,https://github.com/topics/c/ibraheemdev/modern-unix
20,chalk,chalk,17.4k,https://github.com/topics/chrome/chalk/chalk
21,vadimdemedes,ink,17.2k,https://github.com/topics/chrome-extension/vadimdemedes/ink
22,svg,svgo,16.9k,https://github.com/topics/cli/svg/svgo
23,urfave,cli,16.9k,https://github.com/topics/clojure/urfave/cli
24,gpakosz,.tmux,15.4k,https://github.com/topics/code-quality/gpakosz/.tmux
25,allinurl,goaccess,14k,https://github.com/topics/code-review/allinurl/goaccess
26,FormidableLabs,webpack-dashboard,13.8k,https://github.com/topics/compiler/FormidableLabs/webpack-dashboard
27,infinitered,ignite,13.2k,https://github.com/topics/continuous-integration/infinitered/ignite
28,jarun,nnn,12.9k,https://github.com/topics/covid-19/jarun/nnn
29,pomber,git-history,12.7k,https://github.com/topics/cpp/pomber/git-history
