,Username,Repo_name,Stars,Repo_url
0,realm,SwiftLint,15.4k,https://github.com/topics/3d/realm/SwiftLint
1,facebook,infer,12.7k,https://github.com/topics/ajax/facebook/infer
2,analysis-tools-dev,static-analysis,9.1k,https://github.com/topics/algorithm/analysis-tools-dev/static-analysis
3,checkstyle,checkstyle,6.5k,https://github.com/topics/amphp/checkstyle/checkstyle
4,Kristories,awesome-guidelines,6.3k,https://github.com/topics/android/Kristories/awesome-guidelines
5,SonarSource,sonarqube,6.3k,https://github.com/topics/angular/SonarSource/sonarqube
6,facebook,pyre-check,5.7k,https://github.com/topics/ansible/facebook/pyre-check
7,reviewdog,reviewdog,4.4k,https://github.com/topics/api/reviewdog/reviewdog
8,simplecov-ruby,simplecov,4.3k,https://github.com/topics/arduino/simplecov-ruby/simplecov
9,detekt,detekt,4.1k,https://github.com/topics/aspnet/detekt/detekt
10,PyCQA,pylint,3.7k,https://github.com/topics/atom/PyCQA/pylint
11,import-js,eslint-plugin-import,3.7k,https://github.com/topics/awesome/import-js/eslint-plugin-import
12,phpro,grumphp,3.6k,https://github.com/topics/aws/phpro/grumphp
13,pmd,pmd,3.6k,https://github.com/topics/azure/pmd/pmd
14,htmlhint,HTMLHint,2.7k,https://github.com/topics/babel/htmlhint/HTMLHint
15,kucherenko,jscpd,2.4k,https://github.com/topics/bash/kucherenko/jscpd
16,codeclimate,codeclimate,2.3k,https://github.com/topics/bitcoin/codeclimate/codeclimate
17,trekhleb,state-of-the-art-shitcode,2.1k,https://github.com/topics/bootstrap/trekhleb/state-of-the-art-shitcode
18,uber,piranha,1.8k,https://github.com/topics/bot/uber/piranha
19,wemake-services,wemake-python-styleguide,1.7k,https://github.com/topics/c/wemake-services/wemake-python-styleguide
20,ehmicky,cross-platform-node-guide,1.2k,https://github.com/topics/chrome/ehmicky/cross-platform-node-guide
21,urish,typewiz,1.1k,https://github.com/topics/chrome-extension/urish/typewiz
22,Tencent,feflow,1.1k,https://github.com/topics/cli/Tencent/feflow
23,jakzal,phpqa,951,https://github.com/topics/clojure/jakzal/phpqa
24,joshuaclayton,unused,876,https://github.com/topics/code-quality/joshuaclayton/unused
25,imgbot,Imgbot,827,https://github.com/topics/code-review/imgbot/Imgbot
26,pdepend,pdepend,773,https://github.com/topics/compiler/pdepend/pdepend
27,SonarSource,SonarTS,772,https://github.com/topics/continuous-integration/SonarSource/SonarTS
28,SonarSource,SonarJS,764,https://github.com/topics/covid-19/SonarSource/SonarJS
29,bufferapp,android-guidelines,758,https://github.com/topics/cpp/bufferapp/android-guidelines
