,Username,Repo_name,Stars,Repo_url
0,ovity,octotree,21.7k,https://github.com/topics/3d/ovity/octotree
1,gitpod-io,gitpod,5.9k,https://github.com/topics/ajax/gitpod-io/gitpod
2,danger,danger,4.7k,https://github.com/topics/algorithm/danger/danger
3,reviewdog,reviewdog,4.4k,https://github.com/topics/amphp/reviewdog/reviewdog
4,danger,danger-js,4k,https://github.com/topics/android/danger/danger-js
5,joho,awesome-code-review,3.2k,https://github.com/topics/angular/joho/awesome-code-review
6,houndci,hound,1.9k,https://github.com/topics/ansible/houndci/hound
7,ajinabraham,nodejsscan,1.9k,https://github.com/topics/api/ajinabraham/nodejsscan
8,mbj,mutant,1.8k,https://github.com/topics/arduino/mbj/mutant
9,microsoft,vscode-pull-request-github,1.8k,https://github.com/topics/aspnet/microsoft/vscode-pull-request-github
10,crev-dev,cargo-crev,1.5k,https://github.com/topics/atom/crev-dev/cargo-crev
11,reviewboard,reviewboard,1.4k,https://github.com/topics/awesome/reviewboard/reviewboard
12,ryanmcdermott,code-review-tips,1k,https://github.com/topics/aws/ryanmcdermott/code-review-tips
13,bit4woo,python_sec,1k,https://github.com/topics/azure/bit4woo/python_sec
14,code-review-checklists,java-concurrency,970,https://github.com/topics/babel/code-review-checklists/java-concurrency
15,jiangsir404,Audit-Learning,815,https://github.com/topics/bash/jiangsir404/Audit-Learning
16,TeamCodeStream,codestream,692,https://github.com/topics/bitcoin/TeamCodeStream/codestream
17,enlightn,enlightn,574,https://github.com/topics/bootstrap/enlightn/enlightn
18,uwolfer,gerrit-intellij-plugin,428,https://github.com/topics/bot/uwolfer/gerrit-intellij-plugin
19,palantir,policy-bot,426,https://github.com/topics/c/palantir/policy-bot
20,bsamseth,cpp-project,423,https://github.com/topics/chrome/bsamseth/cpp-project
21,mookid,diffr,388,https://github.com/topics/chrome-extension/mookid/diffr
22,mgreiler,code-review-checklist,343,https://github.com/topics/cli/mgreiler/code-review-checklist
23,sjparkinson,static-review,328,https://github.com/topics/clojure/sjparkinson/static-review
24,dpnishant,raptor,324,https://github.com/topics/code-quality/dpnishant/raptor
25,burrito-brothers,shiba,286,https://github.com/topics/code-review/burrito-brothers/shiba
26,charignon,github-review,256,https://github.com/topics/compiler/charignon/github-review
27,src-d,lookout,143,https://github.com/topics/continuous-integration/src-d/lookout
28,uwolfer,gerrit-rest-java-client,140,https://github.com/topics/covid-19/uwolfer/gerrit-rest-java-client
29,apoclyps,reviews,133,https://github.com/topics/cpp/apoclyps/reviews
