,Username,Repo_name,Stars,Repo_url
0,vercel,next.js,76.8k,https://github.com/topics/3d/vercel/next.js
1,rust-lang,rust,60.5k,https://github.com/topics/ajax/rust-lang/rust
2,webpack,webpack,59.8k,https://github.com/topics/algorithm/webpack/webpack
3,sveltejs,svelte,52.9k,https://github.com/topics/amphp/sveltejs/svelte
4,gatsbyjs,gatsby,51.8k,https://github.com/topics/android/gatsbyjs/gatsby
5,babel,babel,40k,https://github.com/topics/angular/babel/babel
6,parcel-bundler,parcel,39.5k,https://github.com/topics/ansible/parcel-bundler/parcel
7,JetBrains,kotlin,39.3k,https://github.com/topics/api/JetBrains/kotlin
8,evanw,esbuild,28.8k,https://github.com/topics/arduino/evanw/esbuild
9,markedjs,marked,26.3k,https://github.com/topics/aspnet/markedjs/marked
10,vlang,v,25.9k,https://github.com/topics/atom/vlang/v
11,vercel,pkg,19.2k,https://github.com/topics/awesome/vercel/pkg
12,v8,v8,18.6k,https://github.com/topics/aws/v8/v8
13,swc-project,swc,17.7k,https://github.com/topics/azure/swc-project/swc
14,AssemblyScript,assemblyscript,13k,https://github.com/topics/babel/AssemblyScript/assemblyscript
15,Konloch,bytecode-viewer,12.5k,https://github.com/topics/bash/Konloch/bytecode-viewer
16,nim-lang,Nim,12.1k,https://github.com/topics/bitcoin/nim-lang/Nim
17,ziglang,zig,11.2k,https://github.com/topics/bootstrap/ziglang/zig
18,gopherjs,gopherjs,10.6k,https://github.com/topics/bot/gopherjs/gopherjs
19,RustPython,RustPython,9.8k,https://github.com/topics/c/RustPython/RustPython
20,compiler-explorer,compiler-explorer,9.7k,https://github.com/topics/chrome/compiler-explorer/compiler-explorer
21,apache,tvm,7.4k,https://github.com/topics/chrome-extension/apache/tvm
22,JetBrains,kotlin-native,7.1k,https://github.com/topics/cli/JetBrains/kotlin-native
23,numba,numba,7k,https://github.com/topics/clojure/numba/numba
24,elm,compiler,6.7k,https://github.com/topics/code-quality/elm/compiler
25,aalhour,awesome-compilers,6.3k,https://github.com/topics/code-review/aalhour/awesome-compilers
26,Nuitka,Nuitka,6k,https://github.com/topics/compiler/Nuitka/Nuitka
27,DoctorWkt,acwj,5.7k,https://github.com/topics/continuous-integration/DoctorWkt/acwj
28,rescript-lang,rescript-compiler,5.6k,https://github.com/topics/covid-19/rescript-lang/rescript-compiler
29,lebab,lebab,5.5k,https://github.com/topics/cpp/lebab/lebab
