,Username,Repo_name,Stars,Repo_url
0,CSSEGISandData,COVID-19,27.8k,https://github.com/topics/3d/CSSEGISandData/COVID-19
1,covid19india,covid19india-react,6.8k,https://github.com/topics/ajax/covid19india/covid19india-react
2,nytimes,covid-19-data,6.6k,https://github.com/topics/algorithm/nytimes/covid-19-data
3,tokyo-metropolitan-gov,covid19,6.3k,https://github.com/topics/amphp/tokyo-metropolitan-gov/covid19
4,owid,covid-19-data,4.6k,https://github.com/topics/android/owid/covid-19-data
5,pcm-dpc,COVID-19,3.9k,https://github.com/topics/angular/pcm-dpc/COVID-19
6,ieee8023,covid-chestxray-dataset,2.7k,https://github.com/topics/ansible/ieee8023/covid-chestxray-dataset
7,disease-sh,API,2.3k,https://github.com/topics/api/disease-sh/API
8,geohot,corona,2.1k,https://github.com/topics/arduino/geohot/corona
9,WorldHealthOrganization,app,2.1k,https://github.com/topics/aspnet/WorldHealthOrganization/app
10,ahmadawais,corona-cli,1.8k,https://github.com/topics/atom/ahmadawais/corona-cli
11,corona-warn-app,cwa-server,1.8k,https://github.com/topics/awesome/corona-warn-app/cwa-server
12,ExpDev07,coronavirus-tracker-api,1.6k,https://github.com/topics/aws/ExpDev07/coronavirus-tracker-api
13,soroushchehresa,awesome-coronavirus,1.5k,https://github.com/topics/azure/soroushchehresa/awesome-coronavirus
14,mhdhejazi,CoronaTracker,1.4k,https://github.com/topics/babel/mhdhejazi/CoronaTracker
15,github,covid19-dashboard,1.4k,https://github.com/topics/bash/github/covid19-dashboard
16,neherlab,covid19_scenarios,1.4k,https://github.com/topics/bitcoin/neherlab/covid19_scenarios
17,pomber,covid19,1.2k,https://github.com/topics/bootstrap/pomber/covid19
18,datasets,covid-19,1.1k,https://github.com/topics/bot/datasets/covid-19
19,covidpass-org,covidpass,1.1k,https://github.com/topics/c/covidpass-org/covidpass
20,FoldingAtHome,coronavirus,1.1k,https://github.com/topics/chrome/FoldingAtHome/coronavirus
21,chrismattmann,tika-python,1.1k,https://github.com/topics/chrome-extension/chrismattmann/tika-python
22,chandrikadeb7,Face-Mask-Detection,1.1k,https://github.com/topics/cli/chandrikadeb7/Face-Mask-Detection
23,lindawangg,COVID-Net,1.1k,https://github.com/topics/clojure/lindawangg/COVID-Net
24,cyberman54,ESP32-Paxcounter,941,https://github.com/topics/code-quality/cyberman54/ESP32-Paxcounter
25,ImperialCollegeLondon,covid19model,931,https://github.com/topics/code-review/ImperialCollegeLondon/covid19model
26,UCSD-AI4H,COVID-CT,897,https://github.com/topics/compiler/UCSD-AI4H/COVID-CT
27,nychealth,coronavirus-data,866,https://github.com/topics/continuous-integration/nychealth/coronavirus-data
28,MoH-Malaysia,covid19-public,861,https://github.com/topics/covid-19/MoH-Malaysia/covid19-public
29,makers-for-life,makair,753,https://github.com/topics/cpp/makers-for-life/makair
