,Username,Repo_name,Stars,Repo_url
0,CyC2018,CS-Notes,142k,https://github.com/topics/3d/CyC2018/CS-Notes
1,practical-tutorials,project-based-learning,59.2k,https://github.com/topics/ajax/practical-tutorials/project-based-learning
2,azl397985856,leetcode,45.2k,https://github.com/topics/algorithm/azl397985856/leetcode
3,x64dbg,x64dbg,37.7k,https://github.com/topics/amphp/x64dbg/x64dbg
4,fffaraz,awesome-cpp,34.7k,https://github.com/topics/android/fffaraz/awesome-cpp
5,microsoft,calculator,23.1k,https://github.com/topics/angular/microsoft/calculator
6,CMU-Perceptual-Computing-Lab,openpose,22.6k,https://github.com/topics/ansible/CMU-Perceptual-Computing-Lab/openpose
7,huihut,interview,21.3k,https://github.com/topics/api/huihut/interview
8,youngyangyang04,leetcode-master,18.3k,https://github.com/topics/arduino/youngyangyang04/leetcode-master
9,yuzu-emu,yuzu,17k,https://github.com/topics/aspnet/yuzu-emu/yuzu
10,TheAlgorithms,C-Plus-Plus,16.8k,https://github.com/topics/atom/TheAlgorithms/C-Plus-Plus
11,changkun,modern-cpp-tutorial,15.6k,https://github.com/topics/awesome/changkun/modern-cpp-tutorial
12,catchorg,Catch2,14.2k,https://github.com/topics/aws/catchorg/Catch2
13,microsoft,vcpkg,14.2k,https://github.com/topics/azure/microsoft/vcpkg
14,ethereum,solidity,13.1k,https://github.com/topics/babel/ethereum/solidity
15,gabime,spdlog,13.1k,https://github.com/topics/bash/gabime/spdlog
16,AnthonyCalandra,modern-cpp-features,13k,https://github.com/topics/bitcoin/AnthonyCalandra/modern-cpp-features
17,Qv2ray,Qv2ray,12.7k,https://github.com/topics/bootstrap/Qv2ray/Qv2ray
18,facebook,infer,12.7k,https://github.com/topics/bot/facebook/infer
19,CoatiSoftware,Sourcetrail,12.2k,https://github.com/topics/c/CoatiSoftware/Sourcetrail
20,google,tink,11.8k,https://github.com/topics/chrome/google/tink
21,ssloy,tinyrenderer,11.6k,https://github.com/topics/chrome-extension/ssloy/tinyrenderer
22,antlr,antlr4,11k,https://github.com/topics/cli/antlr/antlr4
23,SFTtech,openage,10.7k,https://github.com/topics/clojure/SFTtech/openage
24,kyleneideck,BackgroundMusic,10.5k,https://github.com/topics/code-quality/kyleneideck/BackgroundMusic
25,OpenRCT2,OpenRCT2,10k,https://github.com/topics/code-review/OpenRCT2/OpenRCT2
26,compiler-explorer,compiler-explorer,9.7k,https://github.com/topics/compiler/compiler-explorer/compiler-explorer
27,hmemcpy,milewski-ctfp-pdf,9k,https://github.com/topics/continuous-integration/hmemcpy/milewski-ctfp-pdf
28,Ciphey,Ciphey,8.9k,https://github.com/topics/covid-19/Ciphey/Ciphey
29,codota,TabNine,8.8k,https://github.com/topics/cpp/codota/TabNine
